usage_date,service,region,usage_type,unblended_cost,usage_quantity
2024-06-03,AmazonRDS,eu-west-1,InstanceHours,110.0448,120.41
2024-06-03,AmazonRDS,ap-south-1,InstanceHours,77.8346,95.53
2024-06-03,AWSLambda,us-east-1,Requests(M),35.1686,42.86
2024-06-03,AWSLambda,us-west-2,Requests(M),25.1382,27.58
2024-06-03,AWSLambda,eu-west-1,Requests(M),17.2307,20.08
2024-06-03,AWSLambda,ap-south-1,Requests(M),10.7533,10.8
2024-06-03,AmazonCloudFront,us-east-1,GB-Transfer,65.4855,73.16
2024-06-03,AmazonCloudFront,us-west-2,GB-Transfer,38.1656,34.97
2024-06-03,AmazonCloudFront,eu-west-1,GB-Transfer,33.3667,31.67
2024-06-03,AmazonCloudFront,ap-south-1,GB-Transfer,15.9813,15.76
2024-06-03,AmazonEBS,us-east-1,GB-Month,69.0568,84.6
2024-06-03,AmazonEBS,us-west-2,GB-Month,42.9613,41.45
2024-06-03,AmazonEBS,eu-west-1,GB-Month,32.848,31.05
2024-06-03,AmazonEBS,ap-south-1,GB-Month,22.6234,26.01
2024-06-03,AmazonDynamoDB,us-east-1,RCU/WCU,46.3223,39.43
2024-06-03,AmazonDynamoDB,us-west-2,RCU/WCU,33.7198,39.44
2024-06-03,AmazonDynamoDB,eu-west-1,RCU/WCU,23.4335,20.03
2024-06-03,AmazonDynamoDB,ap-south-1,RCU/WCU,14.6135,12.7
2024-06-04,AmazonEC2,us-east-1,InstanceHours,447.3342,396.96
2024-06-04,AmazonEC2,us-west-2,InstanceHours,227.1858,222.28
2024-06-04,AmazonEC2,eu-west-1,InstanceHours,182.9943,218.57
2024-06-04,AmazonEC2,ap-south-1,InstanceHours,127.8611,110.33
2024-06-04,AmazonS3,us-east-1,GB-Month,91.8712,98.19
2024-06-04,AmazonS3,us-west-2,GB-Month,57.3775,61.06
2024-06-04,AmazonS3,eu-west-1,GB-Month,46.879,40.59
2024-06-04,AmazonS3,ap-south-1,GB-Month,27.6415,24.86
2024-06-04,AmazonRDS,us-east-1,InstanceHours,245.8555,284.34
2024-06-04,AmazonRDS,us-west-2,InstanceHours,158.8985,137.05
2024-06-04,AmazonRDS,eu-west-1,InstanceHours,133.048,165.89
2024-06-04,AmazonRDS,ap-south-1,InstanceHours,73.5424,85.09
2024-06-04,AWSLambda,us-east-1,Requests(M),40.2242,37.92
2024-06-04,AWSLambda,us-west-2,Requests(M),21.796,24.5
2024-06-04,AWSLambda,eu-west-1,Requests(M),16.1354,17.35
2024-06-04,AWSLambda,ap-south-1,Requests(M),11.1612,10.16
2024-06-04,AmazonCloudFront,us-east-1,GB-Transfer,64.6242,60.79
2024-06-04,AmazonCloudFront,us-west-2,GB-Transfer,37.1888,36.2
2024-06-04,AmazonCloudFront,eu-west-1,GB-Transfer,29.4111,32.46
2024-06-04,AmazonCloudFront,ap-south-1,GB-Transfer,16.9146,18.84
2024-06-04,AmazonEBS,us-east-1,GB-Month,74.5374,64.43
2024-06-04,AmazonEBS,us-west-2,GB-Month,46.2281,43.92
2024-06-04,AmazonEBS,eu-west-1,GB-Month,37.539,36.42
2024-06-04,AmazonEBS,ap-south-1,GB-Month,25.1164,25.19
2024-06-04,AmazonDynamoDB,us-east-1,RCU/WCU,52.5027,57.55
2024-06-04,AmazonDynamoDB,us-west-2,RCU/WCU,27.9428,34.51
2024-06-04,AmazonDynamoDB,eu-west-1,RCU/WCU,22.8582,19.43
2024-06-04,AmazonDynamoDB,ap-south-1,RCU/WCU,15.579,13.18
2024-06-05,AmazonEC2,us-east-1,InstanceHours,412.4917,511.66
2024-06-05,AmazonEC2,us-west-2,InstanceHours,266.3942,227.43
2024-06-05,AmazonEC2,eu-west-1,InstanceHours,217.9504,183.85
2024-06-05,AmazonEC2,ap-south-1,InstanceHours,125.2659,109.77
2024-06-05,AmazonS3,us-east-1,GB-Month,83.9031,73.57
2024-06-05,AmazonS3,us-west-2,GB-Month,47.4559,51.21
2024-06-05,AmazonS3,eu-west-1,GB-Month,45.7707,38.97
2024-06-05,AmazonS3,ap-south-1,GB-Month,24.3092,22.54
2024-06-05,AmazonRDS,us-east-1,InstanceHours,241.6158,230.99
2024-06-05,AmazonRDS,us-west-2,InstanceHours,157.9185,132.04
2024-06-05,AmazonRDS,eu-west-1,InstanceHours,130.6054,113.48
2024-06-05,AmazonRDS,ap-south-1,InstanceHours,70.8679,64.64
2024-06-05,AWSLambda,us-east-1,Requests(M),38.0325,40.3
2024-06-05,AWSLambda,us-west-2,Requests(M),22.7704,24.82
2024-06-05,AWSLambda,eu-west-1,Requests(M),18.221,15.89
2024-06-05,AWSLambda,ap-south-1,Requests(M),10.9316,9.38
2024-06-05,AmazonCloudFront,us-east-1,GB-Transfer,62.4722,55.81
2024-06-05,AmazonCloudFront,us-west-2,GB-Transfer,47.0959,44.43
2024-06-05,AmazonCloudFront,eu-west-1,GB-Transfer,32.2896,27.93
2024-06-05,AmazonCloudFront,ap-south-1,GB-Transfer,18.938,20.25
2024-06-05,AmazonEBS,us-east-1,GB-Month,70.363,68.23
2024-06-05,AmazonEBS,us-west-2,GB-Month,44.1475,54.21
2024-06-05,AmazonEBS,eu-west-1,GB-Month,44.444,48.59
2024-06-05,AmazonEBS,ap-south-1,GB-Month,19.1389,18.47
2024-06-05,AmazonDynamoDB,us-east-1,RCU/WCU,48.1123,56.55
2024-06-05,AmazonDynamoDB,us-west-2,RCU/WCU,32.6135,32.33
2024-06-05,AmazonDynamoDB,eu-west-1,RCU/WCU,23.5694,22.47
2024-06-05,AmazonDynamoDB,ap-south-1,RCU/WCU,15.8155,18.96
2024-06-06,AmazonEC2,us-east-1,InstanceHours,421.5312,414.79
2024-06-06,AmazonEC2,us-west-2,InstanceHours,238.8637,226.42
2024-06-06,AmazonEC2,eu-west-1,InstanceHours,175.9776,157.39
2024-06-06,AmazonEC2,ap-south-1,InstanceHours,127.8795,140.78
2024-06-06,AmazonS3,us-east-1,GB-Month,84.2939,104.05
2024-06-06,AmazonS3,us-west-2,GB-Month,53.5043,45.15
2024-06-06,AmazonS3,eu-west-1,GB-Month,46.818,48.59
2024-06-06,AmazonS3,ap-south-1,GB-Month,28.87,33.21
2024-06-06,AmazonRDS,us-east-1,InstanceHours,250.1211,245.29
2024-06-06,AmazonRDS,us-west-2,InstanceHours,147.8465,136.16
2024-06-06,AmazonRDS,eu-west-1,InstanceHours,116.8868,98.89
2024-06-06,AmazonRDS,ap-south-1,InstanceHours,83.7275,76.45
2024-06-06,AWSLambda,us-east-1,Requests(M),40.942,42.3
2024-06-06,AWSLambda,us-west-2,Requests(M),22.7345,25.29
2024-06-06,AWSLambda,eu-west-1,Requests(M),19.2737,23.92
2024-06-06,AWSLambda,ap-south-1,Requests(M),9.9056,11.7
2024-06-06,AmazonCloudFront,us-east-1,GB-Transfer,62.1303,62.78
2024-06-06,AmazonCloudFront,us-west-2,GB-Transfer,38.2309,45.56
2024-06-06,AmazonCloudFront,eu-west-1,GB-Transfer,22.221,25.56
2024-06-06,AmazonCloudFront,ap-south-1,GB-Transfer,16.5249,16.97
2024-06-06,AmazonEBS,us-east-1,GB-Month,84.7945,80.45
2024-06-06,AmazonEBS,us-west-2,GB-Month,39.8515,48.71
2024-06-06,AmazonEBS,eu-west-1,GB-Month,41.8238,41.77
2024-06-06,AmazonEBS,ap-south-1,GB-Month,19.9154,17.43
2024-06-06,AmazonDynamoDB,us-east-1,RCU/WCU,46.074,55.63
2024-06-06,AmazonDynamoDB,us-west-2,RCU/WCU,31.109,29.43
2024-06-06,AmazonDynamoDB,eu-west-1,RCU/WCU,25.1396,21.38
2024-06-06,AmazonDynamoDB,ap-south-1,RCU/WCU,14.5376,14.11
2024-06-07,AmazonEC2,us-east-1,InstanceHours,473.2902,481.33
2024-06-07,AmazonEC2,us-west-2,InstanceHours,227.0456,222.98
2024-06-07,AmazonEC2,eu-west-1,InstanceHours,207.45,175.14
2024-06-07,AmazonEC2,ap-south-1,InstanceHours,131.9302,113.52
2024-06-07,AmazonS3,us-east-1,GB-Month,92.0231,111.08
2024-06-07,AmazonS3,us-west-2,GB-Month,51.3099,55.32
2024-06-07,AmazonS3,eu-west-1,GB-Month,42.8783,50.61
2024-06-07,AmazonS3,ap-south-1,GB-Month,28.8351,26.73
2024-06-07,AmazonRDS,us-east-1,InstanceHours,278.7117,254.76
2024-06-07,AmazonRDS,us-west-2,InstanceHours,159.8351,142.53
2024-06-07,AmazonRDS,eu-west-1,InstanceHours,121.3785,110.32
2024-06-07,AmazonRDS,ap-south-1,InstanceHours,74.5045,66.36
2024-06-07,AWSLambda,us-east-1,Requests(M),34.9415,36.83
2024-06-07,AWSLambda,us-west-2,Requests(M),21.1971,19.09
2024-06-07,AWSLambda,eu-west-1,Requests(M),18.2659,15.98
2024-06-07,AWSLambda,ap-south-1,Requests(M),10.3302,10.63
2024-06-07,AmazonCloudFront,us-east-1,GB-Transfer,63.962,76.03
2024-06-07,AmazonCloudFront,us-west-2,GB-Transfer,38.3429,33.03
2024-06-07,AmazonCloudFront,eu-west-1,GB-Transfer,33.1331,35.7
2024-06-07,AmazonCloudFront,ap-south-1,GB-Transfer,18.0302,15.57
2024-06-07,AmazonEBS,us-east-1,GB-Month,76.945,65.19
2024-06-07,AmazonEBS,us-west-2,GB-Month,44.5315,43.26
2024-06-07,AmazonEBS,eu-west-1,GB-Month,35.0453,38.21
2024-06-07,AmazonEBS,ap-south-1,GB-Month,26.2663,28.2
2024-06-07,AmazonDynamoDB,us-east-1,RCU/WCU,54.6324,48.93
2024-06-07,AmazonDynamoDB,us-west-2,RCU/WCU,31.9,28.59
2024-06-07,AmazonDynamoDB,eu-west-1,RCU/WCU,24.9755,30.35
2024-06-07,AmazonDynamoDB,ap-south-1,RCU/WCU,13.9233,13.65
2024-06-08,AmazonEC2,us-east-1,InstanceHours,384.8494,409.25
2024-06-08,AmazonEC2,us-west-2,InstanceHours,211.68,249.97
2024-06-08,AmazonEC2,eu-west-1,InstanceHours,184.3967,176.07
2024-06-08,AmazonEC2,ap-south-1,InstanceHours,102.27,121.68
2024-06-08,AmazonS3,us-east-1,GB-Month,77.9992,94.08
2024-06-08,AmazonS3,us-west-2,GB-Month,44.0385,39.02
2024-06-08,AmazonS3,eu-west-1,GB-Month,36.8086,44.14
2024-06-08,AmazonS3,ap-south-1,GB-Month,23.376,19.57
2024-06-08,AmazonRDS,us-east-1,InstanceHours,195.3979,173.67
2024-06-08,AmazonRDS,us-west-2,InstanceHours,117.6696,99.81
2024-06-08,AmazonRDS,eu-west-1,InstanceHours,104.149,93.76
2024-06-08,AmazonRDS,ap-south-1,InstanceHours,65.1679,63.68
2024-06-08,AWSLambda,us-east-1,Requests(M),31.7912,37.65
2024-06-08,AWSLambda,us-west-2,Requests(M),17.6216,17.67
2024-06-08,AWSLambda,eu-west-1,Requests(M),14.853,18.06
2024-06-08,AWSLambda,ap-south-1,Requests(M),8.7189,10.29
2024-06-08,AmazonCloudFront,us-east-1,GB-Transfer,52.3167,47.63
2024-06-08,AmazonCloudFront,us-west-2,GB-Transfer,28.5749,27.65
2024-06-08,AmazonCloudFront,eu-west-1,GB-Transfer,25.2781,27.65
2024-06-08,AmazonCloudFront,ap-south-1,GB-Transfer,15.7917,13.76
2024-06-08,AmazonEBS,us-east-1,GB-Month,64.8929,78.23
2024-06-08,AmazonEBS,us-west-2,GB-Month,38.2885,37.48
2024-06-08,AmazonEBS,eu-west-1,GB-Month,31.9375,30.37
2024-06-08,AmazonEBS,ap-south-1,GB-Month,19.8869,18.44
2024-06-08,AmazonDynamoDB,us-east-1,RCU/WCU,49.8208,48.2
2024-06-08,AmazonDynamoDB,us-west-2,RCU/WCU,23.9346,20.63
2024-06-08,AmazonDynamoDB,eu-west-1,RCU/WCU,24.9727,27.41
2024-06-08,AmazonDynamoDB,ap-south-1,RCU/WCU,11.9255,13.63
2024-06-09,AmazonEC2,us-east-1,InstanceHours,296.3415,286.75
2024-06-09,AmazonEC2,us-west-2,InstanceHours,205.1907,246.89
2024-06-09,AmazonEC2,eu-west-1,InstanceHours,183.3803,198.5
2024-06-09,AmazonEC2,ap-south-1,InstanceHours,123.175,109.44
2024-06-09,AmazonS3,us-east-1,GB-Month,71.0017,60.98
2024-06-09,AmazonS3,us-west-2,GB-Month,47.7063,42.25
2024-06-09,AmazonS3,eu-west-1,GB-Month,34.2101,29.16
2024-06-09,AmazonS3,ap-south-1,GB-Month,26.3126,22.95
2024-06-09,AmazonRDS,us-east-1,InstanceHours,241.8525,202.4
2024-06-09,AmazonRDS,us-west-2,InstanceHours,127.623,148.37
2024-06-09,AmazonRDS,eu-west-1,InstanceHours,95.3559,80.27
2024-06-09,AmazonRDS,ap-south-1,InstanceHours,73.4809,64.64
2024-06-09,AWSLambda,us-east-1,Requests(M),29.4774,30.52
2024-06-09,AWSLambda,us-west-2,Requests(M),19.6176,21.57
2024-06-09,AWSLambda,eu-west-1,Requests(M),14.8812,13.44
2024-06-09,AWSLambda,ap-south-1,Requests(M),8.9585,7.61
2024-06-09,AmazonCloudFront,us-east-1,GB-Transfer,49.1637,50.16
2024-06-09,AmazonCloudFront,us-west-2,GB-Transfer,32.1247,37.72
2024-06-09,AmazonCloudFront,eu-west-1,GB-Transfer,25.7454,28.88
2024-06-09,AmazonCloudFront,ap-south-1,GB-Transfer,15.9297,14.91
2024-06-09,AmazonEBS,us-east-1,GB-Month,55.926,66.15
2024-06-09,AmazonEBS,us-west-2,GB-Month,42.1597,39.45
2024-06-09,AmazonEBS,eu-west-1,GB-Month,35.8304,35.54
2024-06-09,AmazonEBS,ap-south-1,GB-Month,19.302,16.92
2024-06-09,AmazonDynamoDB,us-east-1,RCU/WCU,49.5065,43.02
2024-06-09,AmazonDynamoDB,us-west-2,RCU/WCU,29.0809,30.25
2024-06-09,AmazonDynamoDB,eu-west-1,RCU/WCU,22.3471,20.66
2024-06-09,AmazonDynamoDB,ap-south-1,RCU/WCU,14.146,15.98
2024-06-10,AmazonEC2,us-east-1,InstanceHours,455.5631,476.08
2024-06-10,AmazonEC2,us-west-2,InstanceHours,216.5438,222.1
2024-06-10,AmazonEC2,eu-west-1,InstanceHours,205.474,204.33
2024-06-10,AmazonEC2,ap-south-1,InstanceHours,133.2328,119.66
2024-06-10,AmazonS3,us-east-1,GB-Month,101.726,88.85
2024-06-10,AmazonS3,us-west-2,GB-Month,48.038,40.72
2024-06-10,AmazonS3,eu-west-1,GB-Month,38.8678,39.51
2024-06-10,AmazonS3,ap-south-1,GB-Month,26.88,22.55
2024-06-10,AmazonRDS,us-east-1,InstanceHours,216.9972,206.0
2024-06-10,AmazonRDS,us-west-2,InstanceHours,154.8878,172.85
2024-06-10,AmazonRDS,eu-west-1,InstanceHours,133.8126,153.32
2024-06-10,AmazonRDS,ap-south-1,InstanceHours,72.1352,76.88
2024-06-10,AWSLambda,us-east-1,Requests(M),34.8245,32.64
2024-06-10,AWSLambda,us-west-2,Requests(M),22.6046,26.01
2024-06-10,AWSLambda,eu-west-1,Requests(M),16.7576,19.24
2024-06-10,AWSLambda,ap-south-1,Requests(M),9.834,11.77
2024-06-10,AmazonCloudFront,us-east-1,GB-Transfer,59.4863,67.4
2024-06-10,AmazonCloudFront,us-west-2,GB-Transfer,33.0185,34.91
2024-06-10,AmazonCloudFront,eu-west-1,GB-Transfer,34.7153,42.56
2024-06-10,AmazonCloudFront,ap-south-1,GB-Transfer,18.0508,16.12
2024-06-10,AmazonEBS,us-east-1,GB-Month,70.8016,61.6
2024-06-10,AmazonEBS,us-west-2,GB-Month,45.7703,39.18
2024-06-10,AmazonEBS,eu-west-1,GB-Month,37.163,33.11
2024-06-10,AmazonEBS,ap-south-1,GB-Month,22.1023,20.11
2024-06-10,AmazonDynamoDB,us-east-1,RCU/WCU,47.878,50.49
2024-06-10,AmazonDynamoDB,us-west-2,RCU/WCU,28.618,28.8
2024-06-10,AmazonDynamoDB,eu-west-1,RCU/WCU,21.9696,22.3
2024-06-10,AmazonDynamoDB,ap-south-1,RCU/WCU,16.6402,15.14
2024-06-11,AmazonEC2,us-east-1,InstanceHours,439.3723,437.33
2024-06-11,AmazonEC2,us-west-2,InstanceHours,258.2748,255.0
2024-06-11,AmazonEC2,eu-west-1,InstanceHours,207.851,205.17
2024-06-11,AmazonEC2,ap-south-1,InstanceHours,116.3682,129.73
2024-06-11,AmazonS3,us-east-1,GB-Month,84.5543,104.64
2024-06-11,AmazonS3,us-west-2,GB-Month,47.8559,51.52
2024-06-11,AmazonS3,eu-west-1,GB-Month,42.6723,50.33
2024-06-11,AmazonS3,ap-south-1,GB-Month,24.6639,21.33
2024-06-11,AmazonRDS,us-east-1,InstanceHours,295.0925,264.5
2024-06-11,AmazonRDS,us-west-2,InstanceHours,167.0029,167.11
2024-06-11,AmazonRDS,eu-west-1,InstanceHours,130.8046,126.41
2024-06-11,AmazonRDS,ap-south-1,InstanceHours,72.6256,66.13
2024-06-11,AWSLambda,us-east-1,Requests(M),32.0957,35.13
2024-06-11,AWSLambda,us-west-2,Requests(M),20.6802,21.88
2024-06-11,AWSLambda,eu-west-1,Requests(M),18.7966,19.94
2024-06-11,AWSLambda,ap-south-1,Requests(M),12.1039,10.13
2024-06-11,AmazonCloudFront,us-east-1,GB-Transfer,53.2869,63.38
2024-06-11,AmazonCloudFront,us-west-2,GB-Transfer,37.6214,43.69
2024-06-11,AmazonCloudFront,eu-west-1,GB-Transfer,28.4385,32.51
2024-06-11,AmazonCloudFront,ap-south-1,GB-Transfer,17.2985,18.93
2024-06-11,AmazonEBS,us-east-1,GB-Month,75.2911,78.09
2024-06-11,AmazonEBS,us-west-2,GB-Month,42.0086,35.21
2024-06-11,AmazonEBS,eu-west-1,GB-Month,36.7832,30.97
2024-06-11,AmazonEBS,ap-south-1,GB-Month,20.8664,18.2
2024-06-11,AmazonDynamoDB,us-east-1,RCU/WCU,47.6929,54.92
2024-06-11,AmazonDynamoDB,us-west-2,RCU/WCU,31.8129,29.8
2024-06-11,AmazonDynamoDB,eu-west-1,RCU/WCU,25.1987,24.5
2024-06-11,AmazonDynamoDB,ap-south-1,RCU/WCU,15.9017,17.44
2024-06-12,AmazonEC2,us-east-1,InstanceHours,397.7358,427.92
2024-06-12,AmazonEC2,us-west-2,InstanceHours,263.5033,271.6
2024-06-12,AmazonEC2,eu-west-1,InstanceHours,182.6573,215.92
2024-06-12,AmazonEC2,ap-south-1,InstanceHours,126.4847,121.13
2024-06-12,AmazonS3,us-east-1,GB-Month,94.5979,109.77
2024-06-12,AmazonS3,us-west-2,GB-Month,46.8222,47.18
2024-06-12,AmazonS3,eu-west-1,GB-Month,42.6534,45.64
2024-06-12,AmazonS3,ap-south-1,GB-Month,27.1024,31.74
2024-06-12,AmazonRDS,us-east-1,InstanceHours,280.9309,311.5
2024-06-12,AmazonRDS,us-west-2,InstanceHours,148.8004,138.73
2024-06-12,AmazonRDS,eu-west-1,InstanceHours,135.51,137.07
2024-06-12,AmazonRDS,ap-south-1,InstanceHours,86.9954,90.18
2024-06-12,AWSLambda,us-east-1,Requests(M),36.6158,32.34
2024-06-12,AWSLambda,us-west-2,Requests(M),20.6589,17.42
2024-06-12,AWSLambda,eu-west-1,Requests(M),18.0196,15.33
2024-06-12,AWSLambda,ap-south-1,Requests(M),9.9927,11.45
2024-06-12,AmazonCloudFront,us-east-1,GB-Transfer,60.4156,58.67
2024-06-12,AmazonCloudFront,us-west-2,GB-Transfer,35.5516,31.28
2024-06-12,AmazonCloudFront,eu-west-1,GB-Transfer,30.8102,34.99
2024-06-12,AmazonCloudFront,ap-south-1,GB-Transfer,17.4069,20.11
2024-06-12,AmazonEBS,us-east-1,GB-Month,77.3667,72.57
2024-06-12,AmazonEBS,us-west-2,GB-Month,43.4845,43.09
2024-06-12,AmazonEBS,eu-west-1,GB-Month,40.1134,41.92
2024-06-12,AmazonEBS,ap-south-1,GB-Month,21.9132,19.45
2024-06-12,AmazonDynamoDB,us-east-1,RCU/WCU,41.8475,42.48
2024-06-12,AmazonDynamoDB,us-west-2,RCU/WCU,27.5806,29.96
2024-06-12,AmazonDynamoDB,eu-west-1,RCU/WCU,25.0368,28.04
2024-06-12,AmazonDynamoDB,ap-south-1,RCU/WCU,17.0117,14.67
2024-06-13,AmazonEC2,us-east-1,InstanceHours,447.868,385.23
2024-06-13,AmazonEC2,us-west-2,InstanceHours,207.4235,197.6
2024-06-13,AmazonEC2,eu-west-1,InstanceHours,185.1598,216.38
2024-06-13,AmazonEC2,ap-south-1,InstanceHours,137.529,123.06
2024-06-13,AmazonS3,us-east-1,GB-Month,94.556,81.69
2024-06-13,AmazonS3,us-west-2,GB-Month,63.8094,57.21
2024-06-13,AmazonS3,eu-west-1,GB-Month,43.3463,48.19
2024-06-13,AmazonS3,ap-south-1,GB-Month,25.1643,22.93
2024-06-13,AmazonRDS,us-east-1,InstanceHours,261.4886,236.64
2024-06-13,AmazonRDS,us-west-2,InstanceHours,150.0388,130.39
2024-06-13,AmazonRDS,eu-west-1,InstanceHours,140.7904,166.76
2024-06-13,AmazonRDS,ap-south-1,InstanceHours,74.8175,65.71
2024-06-13,AWSLambda,us-east-1,Requests(M),34.2444,30.6
2024-06-13,AWSLambda,us-west-2,Requests(M),19.3557,22.51
2024-06-13,AWSLambda,eu-west-1,Requests(M),18.5598,17.06
2024-06-13,AWSLambda,ap-south-1,Requests(M),9.7254,9.21
2024-06-13,AmazonCloudFront,us-east-1,GB-Transfer,61.9845,68.82
2024-06-13,AmazonCloudFront,us-west-2,GB-Transfer,41.4052,44.13
2024-06-13,AmazonCloudFront,eu-west-1,GB-Transfer,25.7311,26.13
2024-06-13,AmazonCloudFront,ap-south-1,GB-Transfer,20.1543,17.1
2024-06-13,AmazonEBS,us-east-1,GB-Month,76.6798,76.5
2024-06-13,AmazonEBS,us-west-2,GB-Month,40.9482,39.2
2024-06-13,AmazonEBS,eu-west-1,GB-Month,37.8282,35.07
2024-06-13,AmazonEBS,ap-south-1,GB-Month,23.8064,20.36
2024-06-13,AmazonDynamoDB,us-east-1,RCU/WCU,46.8381,45.45
2024-06-13,AmazonDynamoDB,us-west-2,RCU/WCU,31.1315,29.86
2024-06-13,AmazonDynamoDB,eu-west-1,RCU/WCU,28.1864,24.01
2024-06-13,AmazonDynamoDB,ap-south-1,RCU/WCU,14.3865,12.29
2024-06-14,AmazonEC2,us-east-1,InstanceHours,386.7493,323.93
2024-06-14,AmazonEC2,us-west-2,InstanceHours,249.4641,219.68
2024-06-14,AmazonEC2,eu-west-1,InstanceHours,210.9362,203.51
2024-06-14,AmazonEC2,ap-south-1,InstanceHours,137.0295,142.8
2024-06-14,AmazonS3,us-east-1,GB-Month,88.8623,79.26
2024-06-14,AmazonS3,us-west-2,GB-Month,52.1559,65.04
